"main", "61", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:1"
"main", "62", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, target=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1"
"main", "63", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "64", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "65", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "66", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "67", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "68", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "69", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "70", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "71", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "72", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, value=<void>"
"main", "73", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Returned", " "
"main", "74", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=91"
"main", "75", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "New Object", " object=se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "76", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, target=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "77", "se/hig/oodp/lab/model/simplefigure/Point.java:25", "Method Entered", " "
"main", "78", "se/hig/oodp/lab/model/simplefigure/Point.java:25", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "79", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/Point.java, line=27"
